Project_ID,proponent,annual_emission_red,vcs_methodology,hectares,vcs_project_validator,registration_date,crediting_period_term,Total_Activities,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11,Cluster_12,Cluster_13,Cluster_14,Cluster_15,Cluster_16,Cluster_17,Classification_biodiversity,Classification_carbon,Classification_community,Classification_no classification,Classification_project management
2723,Multiple Proponents,249943,VM0007,65853,Colombian Institute for Technical Standards and Certification (ICONTEC),2023-08-28,"1st, 08/01/2019 - 07/01/2049",4,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,1,0,3,0,0
2611,"Quadriz Paraguay S.A., Asunción, Paraguay, +34 619 12 9001, christian.nielsen@quadriz.com",560138,VM0007,31858,Aster Global Environmental Solutions Inc.,2023-03-21,"1st, 01/07/2020 - 30/06/2050",8,0,0,0,0,0,0,2,0,0,0,1,1,1,0,1,2,0,0,1,4,1,0,2
2566,"Instituto Homem Pantaneiro, Corumbá, Brazil, +55 67 3232-3303, faleconosco@institutohomempantaneiro.org.br",90592,VM0015,135060,Ruby Canyon Engineering,2023-04-21,"1st, 01/07/2016 - 30/06/2046",7,0,0,1,0,0,0,1,0,0,0,3,2,0,0,0,0,0,0,1,2,2,0,2
2558,Multiple Proponents,1340740,VM0015,140691,RINA S.p.A (RINA),2023-01-30,"1st, 13/09/2017 - 12/09/2047",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2551,"BRCARBON SERVIÇOS AMBIENTAIS LTDA, São Paulo, Brazil, +55 19 34243583, bruno.matta@brcarbon.com.br",812538,VM0007,17660,Earthood Services Private Limited,2022-11-10,"1st, 02/08/2021 - 01/08/2121",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2539,Multiple Proponents,1566547,VM0007,130555,RINA S.p.A (RINA),2022-04-14,"1st, 25/11/2020 - 24/11/2050",11,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,1,10,0,0,0
2538,"African Parks Benin (A Branch of African Parks Network), Johannesburg, South Africa, +31650274566, info@africanparks.org",269843,VM0009,1300000,AENOR International S.A.U.,2023-10-05,"1st, 24/08/2017 - 23/08/2047",5,0,0,0,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,3,0,1
2508,Multiple Proponents,522923,VM0015,94270,RINA S.p.A (RINA),2022-05-05,"1st, 26/04/2018 - 25/04/2048",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0
2502,"MADERERA RIO ACRE SAC, LIMA, Peru, +(51)954688869, JCANCHAYA@MATIM.PE",1575108,VM0006,171584,AENOR International S.A.U.,2022-11-14,"1st, 19/04/2017 - 18/04/2047",11,2,0,0,0,3,1,1,0,0,1,3,0,0,0,0,0,0,0,5,1,4,0,1
2373,"Ecológica Assessoria Ltda., Tocantins, Brazil",273302,VM0015,86097,RINA S.p.A (RINA),2021-12-14,"1st, 01/03/2020 - 28/02/2050",14,0,4,0,0,0,4,0,0,0,0,0,0,1,2,3,0,0,0,0,5,3,2,4
